62,Xerox 1966,Grant Carroll
63,Xerox 213,Grant Carroll
64,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Adrian Hane
65,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Skye Norling
66,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Skye Norling
67,Crate-A-Files�,Andrew Gjertsen
68,"Angle-D Binders with Locking Rings, Label Holders",Ralph Knight
69,"80 Minute CD-R Spindle, 100/Pack - Staples",Dorothy Wardle
70,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Dorothy Wardle
71,12-1/2 Diameter Round Wall Clock,Dorothy Wardle
72,SAFCO Arco Folding Chair,Grant Carroll
73,"#10 White Business Envelopes,4 1/8 x 9 1/2",Barry Weirich
74,3M Office Air Cleaner,Beth Paige
75,"Global Leather and Oak Executive Chair, Black",Sylvia Foulston
76,Xerox 1936,Nicole Hansen
77,Xerox 214,Nicole Hansen
78,Carina Double Wide Media Storage Towers in Natural & Black,Nicole Hansen
79,Staples� General Use 3-Ring Binders,Beth Paige
80,Xerox 1904,Beth Paige
81,Luxo Professional Combination Clamp-On Lamps,Beth Paige
82,Xerox 217,Beth Paige
83,Revere Boxed Rubber Bands by Revere,Beth Paige
84,"Acco Smartsocket� Table Surge Protector, 6 Color-Coded Adapter Outlets",Sylvia Foulston
85,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Bryan Davis
86,Hon 4070 Series Pagoda� Round Back Stacking Chairs,Joy Bell
87,Xerox 1887,Joy Bell
88,Xerox 1891,Joy Bell
89,Avery 506,Alan Barnes
90,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Grant Carroll
91,"Lifetime Advantage� Folding Chairs, 4/Carton",Grant Carroll
92,Microsoft Natural Multimedia Keyboard,Grant Carroll
93,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Delfina Latchford
94,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Don Jones
95,Bevis Boat-Shaped Conference Table,Doug Bickford
96,"Linden� 12"" Wall Clock With Oak Frame",Doug Bickford
97,Newell 326,Doug Bickford
98,Prismacolor Color Pencil Set,Jamie Kunitz
99,Xerox Blank Computer Paper,Anthony Johnson
100,test,test
